x,y
1,12
2,17
3,10
4,18
5,13
6,20
7,15
8,21
9,12
10,19
11,17
12,23
13,15
14,20
15,18
16,25
17,16
18,24
19,19
20,27
21,18
22,26
23,20
24,24
25,29
26,22
27,28
28,20
29,31
30,25
31,21
32,29
33,24
34,32
35,23
36,30
37,28
38,35
39,25
40,34
41,27
42,31
43,37
44,28
45,34
46,26
47,38
48,33
49,27
50,36
51,30
52,39
53,29
54,35
55,33
56,41
57,31
58,40
59,34
60,43
61,32
62,42
63,35
64,39
65,45
66,36
67,43
68,35
69,46
70,40
71,36
72,44
73,39
74,48
75,38
76,45
77,41
78,49
79,40
80,47
81,42
82,46
83,51
84,43
85,48
86,41
87,52
88,46
89,42
90,50
91,45
92,53
93,44
94,49
95,47
96,55
97,46
98,54
99,48
100,52
